Date,County,TotalBeds,AvailableBeds,HospitalCapacity,Hospitalized,ICU,Ventilated,AdmitPrevDay,DischPrevDay,DeltaAdmit
4/17/2021,MIAMI-DADE,9680,1928,0.1991736,642,139,88,85,101,-16
4/18/2021,MIAMI-DADE,9680,2155,0.222624,653,144,91,88,73,15
4/19/2021,MIAMI-DADE,9680,1979,0.2044421,676,144,97,85,74,11
4/20/2021,MIAMI-DADE,9680,1844,0.1904959,699,153,103,112,90,22
4/21/2021,MIAMI-DADE,9680,1794,0.1853306,687,154,96,92,92,0
4/22/2021,MIAMI-DADE,9680,1832,0.1892562,673,145,96,90,102,-12
4/23/2021,MIAMI-DADE,9680,1813,0.1872934,660,146,88,89,98,-9
4/24/2021,MIAMI-DADE,9680,2031,0.209814,636,131,91,85,115,-30
4/25/2021,MIAMI-DADE,9680,2174,0.2245868,626,144,93,68,87,-19
4/26/2021,MIAMI-DADE,9680,2043,0.2110537,622,134,90,85,69,16
4/27/2021,MIAMI-DADE,9680,1929,0.1992769,620,145,89,86,100,-14
4/28/2021,MIAMI-DADE,9680,1837,0.1897727,598,147,90,84,93,-9
4/29/2021,MIAMI-DADE,9680,1797,0.1856405,594,149,89,68,70,-2
4/30/2021,MIAMI-DADE,9680,1830,0.1890496,575,128,77,76,77,-1
5/1/2021,MIAMI-DADE,9680,2048,0.2115702,560,127,80,82,93,-11
5/3/2021,MIAMI-DADE,9680,2006,0.2072314,554,134,72,72,48,24
5/4/2021,MIAMI-DADE,9680,1772,0.1830579,567,122,75,79,66,13
5/5/2021,MIAMI-DADE,9680,1722,0.1778926,541,122,74,61,106,-45
5/6/2021,MIAMI-DADE,9680,1764,0.1822314,525,129,77,63,94,-31
5/7/2021,MIAMI-DADE,9680,1782,0.1840909,516,123,78,62,88,-26
5/8/2021,MIAMI-DADE,9680,1894,0.1956612,474,124,77,61,94,-33
5/9/2021,MIAMI-DADE,9680,2070,0.213843,484,122,76,66,56,10
5/10/2021,MIAMI-DADE,9680,1949,0.201343,502,126,79,56,52,4
5/11/2021,MIAMI-DADE,9680,1730,0.178719,515,136,79,63,58,5
5/12/2021,MIAMI-DADE,9680,1722,0.1778926,528,140,88,76,81,-5
5/13/2021,MIAMI-DADE,9680,1651,0.1705579,513,129,77,69,61,8
5/14/2021,MIAMI-DADE,9680,1709,0.1765496,492,120,76,58,73,-15
5/15/2021,MIAMI-DADE,9680,1839,0.1899793,494,115,73,67,67,0
5/16/2021,MIAMI-DADE,9680,2037,0.2104339,474,107,72,52,59,-7
5/17/2021,MIAMI-DADE,9680,1954,0.2018595,518,131,72,63,38,25
5/18/2021,MIAMI-DADE,9670,1855,0.1918304,503,112,68,51,59,-8
5/19/2021,MIAMI-DADE,9670,1753,0.1812823,487,110,68,55,51,4
5/20/2021,MIAMI-DADE,9670,1698,0.1755946,464,109,67,58,71,-13
5/21/2021,MIAMI-DADE,9670,1759,0.1819028,448,104,62,53,64,-11
5/22/2021,MIAMI-DADE,9670,2011,0.2079628,443,103,61,52,66,-14
