"Date de résultat du test","Cas confirmés","Moyenne mobile (7 jours)","Annotations 1"
"2020-07-13 00:00:00",74,53.29
"2020-07-14 00:00:00",52,58.43
"2020-07-15 00:00:00",88,69.71
"2020-07-16 00:00:00",78,72.57
"2020-07-17 00:00:00",74,69.71
"2020-07-18 00:00:00",101,70.14
"2020-07-19 00:00:00",41,69.57
"2020-07-20 00:00:00",54,69.57
"2020-07-21 00:00:00",55,66.14
"2020-07-22 00:00:00",84,57.57
"2020-07-23 00:00:00",78,56.29
"2020-07-24 00:00:00",50,54.29
"2020-07-25 00:00:00",41,51.71
"2020-07-26 00:00:00",32,50.86
"2020-07-27 00:00:00",40,48.57
"2020-07-28 00:00:00",37,46.86
"2020-07-29 00:00:00",78,47.29
"2020-07-30 00:00:00",62,47.86
"2020-07-31 00:00:00",38,49
"2020-08-01 00:00:00",44,51.14
"2020-08-02 00:00:00",36,45.71
"2020-08-03 00:00:00",48,41.86
"2020-08-04 00:00:00",52,42.71
"2020-08-05 00:00:00",40,43.29
"2020-08-06 00:00:00",35,42.57
"2020-08-07 00:00:00",44,40.14
"2020-08-08 00:00:00",48,39
"2020-08-09 00:00:00",31,38.43
"2020-08-10 00:00:00",31,38.43
"2020-08-11 00:00:00",44,35.57
"2020-08-12 00:00:00",36,31.29
"2020-08-13 00:00:00",35,27.86
"2020-08-14 00:00:00",24,26.57
"2020-08-15 00:00:00",18,23.86
"2020-08-16 00:00:00",7,22.14
"2020-08-17 00:00:00",22,22.57
"2020-08-18 00:00:00",25,23.43
"2020-08-19 00:00:00",24,23.29
"2020-08-20 00:00:00",38,24.57
"2020-08-21 00:00:00",30,23.86
"2020-08-22 00:00:00",17,27
"2020-08-23 00:00:00",16,30.57
"2020-08-24 00:00:00",17,29.71
"2020-08-25 00:00:00",47,32
"2020-08-26 00:00:00",49,34
"2020-08-27 00:00:00",32,34.86
"2020-08-28 00:00:00",46,36.14
"2020-08-29 00:00:00",31,36.14
"2020-08-30 00:00:00",22,37.71
"2020-08-31 00:00:00",26,40
"2020-09-01 00:00:00",47,39.57
"2020-09-02 00:00:00",60,45.86
"2020-09-03 00:00:00",48,51.71
"2020-09-04 00:00:00",43,55.71
"2020-09-05 00:00:00",75,57.86
"2020-09-06 00:00:00",63,61.14
"2020-09-07 00:00:00",54,67.14
"2020-09-08 00:00:00",62,76
"2020-09-09 00:00:00",83,79.86
"2020-09-10 00:00:00",90,82.43
"2020-09-11 00:00:00",105,83.43
"2020-09-12 00:00:00",102,89.29
"2020-09-13 00:00:00",81,90.71
"2020-09-14 00:00:00",61,95.43
"2020-09-15 00:00:00",103,104.43
"2020-09-16 00:00:00",93,112.57
"2020-09-17 00:00:00",123,125.29
"2020-09-18 00:00:00",168,138.14
"2020-09-19 00:00:00",159,148.86
"2020-09-20 00:00:00",170,173
"2020-09-21 00:00:00",151,192.43
"2020-09-22 00:00:00",178,210.57
"2020-09-23 00:00:00",262,235.71
"2020-09-24 00:00:00",259,252
"2020-09-25 00:00:00",295,273.57
"2020-09-26 00:00:00",335,299
"2020-09-27 00:00:00",284,307.71
"2020-09-28 00:00:00",302,330.71
"2020-09-29 00:00:00",356,355.86
"2020-09-30 00:00:00",323,350.43
"2020-10-01 00:00:00",420,355.29
"2020-10-02 00:00:00",471,349.29
"2020-10-03 00:00:00",297,343
"2020-10-04 00:00:00",318,336.57
"2020-10-05 00:00:00",260,325.14
"2020-10-06 00:00:00",312,295.86
"2020-10-07 00:00:00",278,297.14
"2020-10-08 00:00:00",340,288.43
"2020-10-09 00:00:00",266,278
"2020-10-10 00:00:00",306,275.14
"2020-10-11 00:00:00",257,270.71
"2020-10-12 00:00:00",187,259.86
"2020-10-13 00:00:00",292,265.14
"2020-10-14 00:00:00",247,254.71
"2020-10-15 00:00:00",264,251.14
"2020-10-16 00:00:00",303,253.57
"2020-10-17 00:00:00",233,256.71
"2020-10-18 00:00:00",232,260.57
"2020-10-19 00:00:00",204,257
"2020-10-20 00:00:00",314,247.57
"2020-10-21 00:00:00",274,250.86
"2020-10-22 00:00:00",239,254.71
"2020-10-23 00:00:00",237,250.57
"2020-10-24 00:00:00",256,243.86
"2020-10-25 00:00:00",259,234.57
"2020-10-26 00:00:00",175,232.14
"2020-10-27 00:00:00",267,230
"2020-10-28 00:00:00",209,232
"2020-10-29 00:00:00",222,225
"2020-10-30 00:00:00",222,226
